31 most happy couples are
B74 G21
B12 G1
B64 G77
B85 G56
B57 G44
B80 G54
B68 G55
B56 G41
B29 G28
B24 G22
B11 G16
B6 G11
B76 G33
B17 G6
B3 G8
B9 G0
B5 G25
B20 G9
B70 G87
B10 G12
B25 G15
B61 G90
B88 G63
B95 G30
B79 G29
B73 G5
B52 G62
B28 G27
B18 G4
B81 G79
B99 G96
31 most compatible couples are
B85 G56
B14 G39
B8 G38
B82 G37
B60 G64
B34 G36
B97 G83
B36 G50
B66 G72
B31 G45
B37 G47
B47 G70
B39 G53
B25 G15
B26 G23
B79 G29
B50 G68
B78 G93
B19 G35
B88 G63
B56 G41
B67 G80
B42 G61
B57 G44
B55 G78
B58 G75
B17 G6
B86 G94
B95 G30
B49 G59
B53 G34
